Date,Temperature_C,Rainfall_mm,Arrivals_Tonnes,Min_Price,Max_Price,Modal_Price,Diesel_Price_Rs
2021-01-01,14.433334,0.1,20.0,900.0,1060.0,1000.0,74.0
2021-01-02,17.724998,0.2,20.0,1000.0,1100.0,1020.0,74.10493150684931
2021-01-03,18.918749,0.3,20.0,1000.0,1100.0,1020.0,74.10493150684931
2021-01-04,19.745834,0.0,18.0,1000.0,1100.0,1050.0,74.31479452054795
2021-01-05,18.86875,0.0,20.0,1000.0,1100.0,1020.0,74.41972602739726
2021-01-06,18.627085,0.0,14.0,800.0,1000.0,900.0,74.52465753424657
2021-01-07,16.541666,3.1000001,14.0,800.0,1000.0,900.0,74.52465753424657
2021-01-08,17.722918,0.0,15.0,850.0,950.0,900.0,74.73452054794521
2021-01-09,17.283335,0.0,20.0,780.0,870.0,800.0,74.83945205479452
2021-01-10,13.072917,0.0,20.0,780.0,870.0,800.0,74.83945205479452
2021-01-11,12.083335,0.0,12.0,780.0,850.0,800.0,75.04931506849314
2021-01-12,11.681249,0.0,12.0,800.0,900.0,850.0,75.15424657534247
2021-01-13,11.379166,0.0,20.0,780.0,860.0,800.0,75.25917808219178
2021-01-14,12.524999,0.0,20.0,780.0,830.0,800.0,75.36410958904109
2021-01-15,13.360416,0.0,25.0,700.0,800.0,750.0,75.4690410958904
2021-01-16,13.087501,0.0,25.0,700.0,800.0,760.0,75.57397260273973
2021-01-17,14.0666685,0.4,25.0,700.0,800.0,760.0,75.57397260273973
2021-01-18,15.556248,0.0,28.0,700.0,800.0,750.0,75.78383561643835
2021-01-19,15.229164,0.0,20.0,700.0,800.0,740.0,75.88876712328766
2021-01-20,14.299999,0.0,15.0,700.0,800.0,750.0,75.99369863013699
2021-01-21,13.868751,0.0,15.0,700.0,800.0,750.0,76.0986301369863
2021-01-22,14.089583,0.0,20.0,600.0,700.0,680.0,76.20356164383561
2021-01-23,14.791667,0.0,14.0,600.0,700.0,670.0,76.30849315068492
2021-01-24,13.316667,0.0,14.0,600.0,700.0,670.0,76.30849315068492
2021-01-25,11.450001,0.0,15.0,650.0,700.0,680.0,76.51835616438356
2021-01-26,12.939583,0.0,15.0,650.0,700.0,680.0,76.51835616438356
2021-01-27,12.618751,0.0,15.0,600.0,700.0,680.0,76.72821917808218
2021-01-28,12.254167,0.0,16.0,600.0,700.0,680.0,76.83315068493151
2021-01-29,12.039582,0.0,10.0,620.0,680.0,650.0,76.93808219178082
2021-01-30,12.591667,0.0,12.0,600.0,700.0,660.0,77.04301369863013
2021-01-31,14.777084,0.0,12.0,600.0,700.0,660.0,77.04301369863013
2021-02-01,15.631249,0.0,10.0,600.0,700.0,640.0,77.25287671232877
2021-02-02,16.737501,0.0,20.0,630.0,680.0,650.0,77.35780821917808
2021-02-03,18.497917,0.7,10.0,600.0,700.0,640.0,77.4627397260274
2021-02-04,16.687498,0.8,20.0,630.0,700.0,660.0,77.5676712328767
2021-02-05,14.875001,0.0,15.0,620.0,680.0,650.0,77.67260273972603
2021-02-06,14.783334,0.0,14.0,600.0,700.0,650.0,77.77753424657534
2021-02-07,15.033333,0.0,14.0,600.0,700.0,650.0,77.77753424657534
2021-02-08,17.581251,0.0,25.0,600.0,700.0,650.0,77.98739726027397
2021-02-09,18.664583,0.0,20.0,600.0,700.0,650.0,78.09232876712329
2021-02-10,18.7625,0.0,15.0,600.0,700.0,660.0,78.1972602739726
2021-02-11,17.93958,0.0,12.0,500.0,650.0,600.0,78.30219178082191
2021-02-12,18.574999,0.0,20.0,600.0,700.0,650.0,78.40712328767123
