Date,Temperature_C,Rainfall_mm,Arrivals_Tonnes,Min_Price,Max_Price,Modal_Price,Diesel_Price_Rs
2021-01-02,21.53125,0.0,354.0,5550.0,6099.0,5840.0,80.26
2021-01-03,22.543747,0.1,354.0,5550.0,6099.0,5840.0,80.26
2021-01-04,21.062502,0.0,2.0,5600.0,5600.0,5600.0,80.39
2021-01-04,21.062502,0.0,248.0,5500.0,6300.0,6050.0,80.39
2021-01-05,22.6625,1.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-06,22.527084,2.9,543.0,5900.0,6325.0,6075.0,80.45
2021-01-07,24.360413,0.2,543.0,5900.0,6325.0,6075.0,80.45
2021-01-08,24.106247,0.1,543.0,5900.0,6325.0,6075.0,80.45
2021-01-09,24.122915,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-10,24.027082,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-11,24.310415,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-12,23.683332,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-13,22.793749,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-14,22.77917,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-15,24.18125,0.0,543.0,5900.0,6325.0,6075.0,80.45
2021-01-16,24.585419,0.0,4.0,5640.0,5640.0,5640.0,81.15
2021-01-16,24.585419,0.0,411.0,5501.0,6255.0,6060.0,81.15
2021-01-17,24.597918,0.0,411.0,5501.0,6255.0,6060.0,81.15
2021-01-18,24.239584,0.0,443.0,5400.0,6290.0,6030.0,81.28
2021-01-18,24.239584,0.0,6.0,5500.0,5751.0,5600.0,81.28
2021-01-19,24.475004,0.0,502.0,5525.0,6252.0,5900.0,81.34
2021-01-19,24.475004,0.0,7.0,5600.0,5751.0,5700.0,81.34
2021-01-20,23.797915,0.0,479.0,5681.0,6200.0,5950.0,81.4
2021-01-20,23.797915,0.0,11.0,5500.0,5711.0,5600.0,81.4
2021-01-21,23.989584,0.0,682.0,5504.0,6173.0,5900.0,81.47
2021-01-21,23.989584,0.0,9.0,5600.0,5751.0,5700.0,81.47
2021-01-22,23.612503,0.0,17.0,5600.0,5800.0,5700.0,81.53
2021-01-22,23.612503,0.0,687.0,5090.0,6200.0,5950.0,81.53
2021-01-23,23.877085,0.0,1.0,5600.0,5600.0,5600.0,81.6
2021-01-23,23.877085,0.0,665.0,5570.0,6227.0,6000.0,81.6
2021-01-24,23.885414,0.0,665.0,5570.0,6227.0,6000.0,81.6
2021-01-25,23.733335,0.0,620.0,5640.0,6275.0,6100.0,81.72
2021-01-26,23.514582,0.0,620.0,5640.0,6275.0,6100.0,81.72
2021-01-27,23.56875,0.0,2.0,7720.0,7720.0,7720.0,81.85
2021-01-27,23.56875,0.0,723.0,5200.0,6300.0,6150.0,81.85
2021-01-28,23.38542,0.0,870.0,5521.0,6166.0,5950.0,81.91
2021-01-28,23.38542,0.0,7.0,5500.0,5800.0,5700.0,81.91
2021-01-29,23.756248,0.0,688.0,5680.0,6200.0,6000.0,81.98
2021-01-29,23.756248,0.0,3.0,5600.0,5800.0,5750.0,81.98
2021-01-30,23.570833,0.0,804.0,5560.0,6225.0,6050.0,82.04
2021-01-31,23.097921,0.0,804.0,5560.0,6225.0,6050.0,82.04
2021-02-01,21.881248,0.0,805.0,6000.0,6421.0,6200.0,82.17
2021-02-01,21.881248,0.0,30.0,5800.0,6001.0,5900.0,82.17
2021-02-02,22.058334,0.0,7.0,5800.0,6000.0,5900.0,82.23
2021-02-02,22.058334,0.0,888.0,5740.0,6421.0,6200.0,82.23
2021-02-03,21.956247,0.0,5.0,5800.0,6051.0,5950.0,82.29
2021-02-03,21.956247,0.0,783.0,5481.0,6400.0,6170.0,82.29
2021-02-04,22.74375,0.0,2.0,6350.0,6350.0,6350.0,82.36
2021-02-04,22.74375,0.0,789.0,6001.0,6631.0,6450.0,82.36
2021-02-05,22.337502,0.0,17.0,6300.0,6600.0,6500.0,82.42
2021-02-05,22.337502,0.0,748.0,6400.0,7201.0,6950.0,82.42
2021-02-06,21.693748,0.0,748.0,6400.0,7201.0,6950.0,82.42
2021-02-07,21.068747,0.0,748.0,6400.0,7201.0,6950.0,82.42
2021-02-08,21.345835,0.0,748.0,6400.0,7201.0,6950.0,82.42
2021-02-09,21.962502,0.0,3.0,6850.0,6850.0,6850.0,82.67
2021-02-09,21.962502,0.0,539.0,6800.0,7500.0,7200.0,82.67
2021-02-10,23.285418,0.0,5.0,6500.0,6700.0,6600.0,82.74
2021-02-10,23.285418,0.0,559.0,6300.0,7200.0,6850.0,82.74
2021-02-11,23.766665,0.0,559.0,6300.0,7200.0,6850.0,82.74
2021-02-12,24.297915,0.0,11.0,6600.0,6850.0,6800.0,82.86
2021-02-12,24.297915,0.0,645.0,6650.0,7250.0,6950.0,82.86
2021-02-13,24.450003,0.0,399.0,6530.0,7202.0,6900.0,82.93
2021-02-13,24.450003,0.0,4.0,6500.0,6800.0,6750.0,82.93
2021-02-14,25.410418,0.0,4.0,6500.0,6800.0,6750.0,82.93
2021-02-15,25.370829,0.0,2.0,6500.0,6711.0,6600.0,83.05
2021-02-15,25.370829,0.0,437.0,6616.0,7090.0,6850.0,83.05
2021-02-16,25.166666,0.0,433.0,6501.0,7025.0,6800.0,83.12
2021-02-16,25.166666,0.0,15.0,6500.0,6701.0,6600.0,83.12
2021-02-17,23.49375,0.0,10.0,6400.0,6700.0,6600.0,83.18
2021-02-17,23.49375,0.0,305.0,6461.0,7111.0,6850.0,83.18
2021-02-18,17.945835,10.0,335.0,6601.0,7000.0,6870.0,83.24
